Date,Open,High,Low,Close,Adj Close,Volume
2018-04-21,1154.449951,1260.130005,1110.280029,1195.640015,1195.640015,144092452
2018-04-22,1195.640015,1457.290039,1193.329956,1440.949951,1440.949951,309318983
2018-04-23,1440.949951,1569.349976,1391.209961,1407.550049,1407.550049,366818528
2018-04-24,1407.560059,1438.199951,1226.869995,1289.859985,1289.859985,381199575
2018-04-25,1289.859985,1425.930054,1244.390015,1421.869995,1421.869995,174556815
2018-04-26,1421.250000,1423.319946,1327.819946,1331.969971,1331.969971,127133720
2018-04-27,1331.969971,1416.750000,1320.989990,1390.640015,1390.640015,76830254
2018-04-28,1390.640015,1483.900024,1367.280029,1440.089966,1440.089966,118771919
2018-04-29,1440.089966,1447.310059,1332.060059,1348.270020,1348.270020,74604340
2018-04-30,1348.400024,1360.209961,1244.319946,1354.280029,1354.280029,95214620
2018-05-01,1354.280029,1490.579956,1323.900024,1457.079956,1457.079956,140930581
2018-05-02,1457.079956,1539.890015,1448.819946,1507.359985,1507.359985,168151101
2018-05-03,1507.650024,1538.829956,1459.010010,1513.290039,1513.290039,97222464
2018-05-04,1513.290039,1758.589966,1509.829956,1758.589966,1758.589966,200830189
2018-05-05,1758.589966,1843.660034,1635.479980,1756.569946,1756.569946,245512548
2018-05-06,1756.569946,1779.199951,1562.579956,1651.390015,1651.390015,179642018
2018-05-07,1651.390015,1694.869995,1550.699951,1599.520020,1599.520020,132524367
2018-05-08,1599.520020,1676.390015,1459.670044,1626.630005,1626.630005,158636690
2018-05-09,1626.739990,1665.050049,1508.800049,1519.839966,1519.839966,135411694
2018-05-10,1519.839966,1556.670044,1309.560059,1367.010010,1367.010010,250733936
2018-05-11,1367.010010,1503.589966,1269.170044,1458.550049,1458.550049,192556727
2018-05-12,1458.550049,1497.339966,1404.939941,1478.750000,1478.750000,105948682
2018-05-13,1478.750000,1493.790039,1329.130005,1412.969971,1412.969971,163658298
2018-05-14,1412.969971,1453.089966,1310.739990,1337.530029,1337.530029,133975697
2018-05-15,1337.530029,1355.910034,1216.589966,1280.109985,1280.109985,129995294
2018-05-16,1280.109985,1344.040039,1166.469971,1192.880005,1192.880005,106796700
2018-05-17,1192.880005,1218.300049,1130.380005,1203.319946,1203.319946,107567516
2018-05-18,1203.319946,1214.280029,1148.839966,1177.020020,1177.020020,39959789
2018-05-19,1177.020020,1310.569946,1165.810059,1291.589966,1291.589966,94658247
2018-05-20,1291.589966,1301.209961,1212.359985,1229.050049,1229.050049,64142112
2018-05-21,1229.050049,1230.020020,1122.380005,1135.150024,1135.150024,86991398
2018-05-22,1135.140015,1152.579956,968.429993,994.369995,994.369995,146261127
2018-05-23,994.239990,1080.369995,945.770020,1073.900024,1073.900024,109144652
2018-05-24,1073.900024,1074.989990,985.400024,1016.450012,1016.450012,79498329
2018-05-25,1016.450012,1046.790039,996.190002,1006.460022,1006.460022,41313070
2018-05-26,1006.460022,1009.510010,978.000000,996.479980,996.479980,41497870
2018-05-27,996.479980,1005.510010,872.409973,883.179993,883.179993,66464558
2018-05-28,883.179993,1006.710022,872.940002,988.059998,988.059998,104520371
2018-05-29,988.039978,1029.170044,949.539978,982.869995,982.869995,81875881
2018-05-30,982.869995,1030.979980,972.609985,996.479980,996.479980,73969184
2018-05-31,996.520020,1012.130005,975.500000,1001.859985,1001.859985,45598262
2018-06-01,1001.859985,1099.540039,992.630005,1084.219971,1084.219971,65292437
2018-06-02,1084.219971,1192.859985,1073.099976,1168.410034,1168.410034,121830441
2018-06-03,1168.430054,1210.849976,1075.250000,1097.900024,1097.900024,138533392
2018-06-04,1097.900024,1158.500000,1047.130005,1150.060059,1150.060059,98390092
2018-06-05,1150.060059,1156.589966,1097.579956,1129.119995,1129.119995,91936744
2018-06-06,1129.119995,1168.689941,1127.439941,1144.550049,1144.550049,68385230
2018-06-07,1144.550049,1149.479980,1087.640015,1115.050049,1115.050049,57948851
2018-06-08,1115.050049,1139.250000,1084.010010,1085.650024,1085.650024,41238418
2018-06-09,1085.739990,1086.459961,898.760010,937.210022,937.210022,142156156
2018-06-10,935.900024,980.559998,896.729980,954.260010,954.260010,83391163
2018-06-11,954.260010,959.630005,851.059998,870.750000,870.750000,77008744
2018-06-12,870.739990,882.719971,802.280029,842.820007,842.820007,79282537
2018-06-13,842.820007,907.659973,828.390015,895.359985,895.359985,70845642
2018-06-14,895.330017,897.830017,836.659973,842.609985,842.609985,39291397
2018-06-15,842.609985,859.830017,829.630005,850.030029,850.030029,26287863
2018-06-16,850.030029,862.429993,843.380005,847.280029,847.280029,16592249
2018-06-17,847.280029,899.770020,824.780029,884.909973,884.909973,41409173
2018-06-18,884.909973,928.859985,874.349976,907.690002,907.690002,45928501
2018-06-19,907.690002,907.960022,863.590027,891.940002,891.940002,54405712
2018-06-20,891.940002,906.020020,866.919983,871.580017,871.580017,29697468
2018-06-21,871.590027,874.049988,720.109985,751.409973,751.409973,112671384
2018-06-22,751.409973,777.669983,732.500000,762.419983,762.419983,40505389
2018-06-23,762.419983,771.750000,662.599976,747.179993,747.179993,93086099
2018-06-24,747.190002,779.440002,734.880005,754.229980,754.229980,49903670
2018-06-25,754.229980,757.859985,693.150024,695.380005,695.380005,38078700
2018-06-26,695.450012,722.520020,687.349976,713.380005,713.380005,44089146
2018-06-27,713.380005,723.039978,649.510010,658.969971,658.969971,40003702
2018-06-28,658.969971,739.590027,648.739990,715.500000,715.500000,55895762
2018-06-29,715.500000,785.739990,715.500000,747.609985,747.609985,63902832
2018-06-30,747.849976,753.190002,715.729980,736.909973,736.909973,27029443
2018-07-01,736.909973,796.270020,721.669983,781.020020,781.020020,53128466
2018-07-02,781.150024,830.789978,751.489990,755.830017,755.830017,72030879
2018-07-03,755.799988,810.099976,738.609985,763.409973,763.409973,55547130
2018-07-04,763.409973,785.719971,715.539978,743.020020,743.020020,58005429
2018-07-05,743.020020,743.080017,698.900024,732.780029,732.780029,34747645
2018-07-06,732.780029,774.320007,708.869995,772.760010,772.760010,28613968
2018-07-07,772.760010,781.210022,741.059998,749.200012,749.200012,32105376
2018-07-08,749.200012,759.849976,726.590027,729.590027,729.590027,31225217
2018-07-09,729.590027,736.340027,685.109985,686.770020,686.770020,43738818
2018-07-10,686.770020,711.989990,683.890015,707.099976,707.099976,26268587
2018-07-11,707.099976,707.099976,662.770020,686.840027,686.840027,34346196
2018-07-12,686.900024,712.869995,685.770020,694.229980,694.229980,26274035
2018-07-13,694.229980,712.219971,687.099976,702.020020,702.020020,13256762
2018-07-14,702.020020,732.590027,698.489990,724.169983,724.169983,21683866
2018-07-15,724.169983,810.549988,717.450012,801.599976,801.599976,73268518
2018-07-16,801.599976,874.169983,782.929993,852.789978,852.789978,91768694
2018-07-17,852.789978,888.760010,805.659973,824.390015,824.390015,72262923
2018-07-18,824.390015,844.479980,805.619995,824.270020,824.270020,41050988
2018-07-19,824.270020,824.289978,761.020020,764.919983,764.919983,53890147
2018-07-20,764.929993,799.520020,741.830017,787.280029,787.280029,23974589
2018-07-21,787.280029,820.830017,777.130005,785.210022,785.210022,29264746
2018-07-22,785.210022,833.900024,778.820007,781.909973,781.909973,54854241
2018-07-23,781.909973,876.179993,770.299988,865.859985,865.859985,89365798
2018-07-24,865.859985,876.630005,819.119995,831.229980,831.229980,49966470
2018-07-25,831.229980,860.960022,791.510010,804.030029,804.030029,37021659
2018-07-26,804.030029,829.770020,781.590027,820.010010,820.010010,35713795
2018-07-27,820.010010,827.020020,801.049988,822.809998,822.809998,16075768
